name,subject,chapter,desc,priority
计算机程序,C语言,1,"所谓程序,就是一组计算机能识别和执行的指令。每一条指令使计算机执行特定的操作。只要让计算机执行这个程序，计算机就会“自动地""执行各条指令,有条不紊地进行工作。",4
计算机语言,C语言,1,计算机语言（Computer Language）指用于人与计算机之间通讯的语言。计算机语言是人与计算机之间传递信息的媒介。,4
机器语言,C语言,1,计算机能直接识别和接受的二进制代码称为机器指令(machineinstruction)。机器指令的集合就是该计算机的机器语言(machinelanguage)。,4
汇编语言,C语言,1,汇编语言（assembly language）是一种用于电子计算机、微处理器、微控制器或其他可编程器件的低级语言，亦称为符号语言。,4
高级语言,C语言,1,高级语言（High-level programming language）是一种独立于机器，面向过程或对象的语言。,4
C语言特点,C语言,1,（1）简洁的语言（2）具有结构化的控制语句（3）丰富的数据类型（4）丰富的运算符（5）可对物理地址进行直接操作（6）代码具有较好的可移植性（7）可生成高质量、目标代码执行效率高的程序,4
算法的特征,C语言,2,有穷性；确切性；输入项；输出项；可行性,4
算法的描述方法,C语言,2,描述算法的方法有多种，常用的有自然语言、结构化流程图、伪代码和PAD图等。,4
常量,C语言,3,"在程序运行过程中,其值不能被改变的量称为常量。",4
变量,C语言,3,"在程序运行期间,变量的值是可以改变的。",4
标识符,C语言,3,在计算机编程语言中，标识符是用户编程时使用的名字，用于给变量、常量、函数、语句块等命名，以建立起名称与使用之间的关系。标识符通常由字母和数字以及其它字符构成。,4
整型数据,C语言,3,整型（INTEGER）数据是不包含小数部分的数值型数据，用字母I表示。整型数据只用来表示整数，以二进制形式存储。,4
字符型数据,C语言,3,字符型（Character）数据是不具计算能力的文字数据类型，它包括中文字符、英文字符、数字字符和其他ASCⅡ字符，其长度（即字符个数）范围是0-255个字符，即0x00至0xFF。,4
浮点型数据,C语言,3,浮点型数据分为 浮点型常量和浮点型变量,4
C语句分类,C语言,3,控制语句；函数调用语句；表达式语句；空语句；复合语句,4
字符数据的输入输出,C语言,3,用putchar函数输出一个字符；用getchar函数输入一个字符,4
关系运算符,C语言,4,关系运算符有6种关系，分别为<小于、>大于、<=小于等于、>=大于等于、=等于、!=不等于。,4
逻辑运算符,C语言,4,基本的操作符有：“非”（&not;）、“与”（∧）、“或”（∨）、“条件”（→）以及“双条件”（?）。,4
